
Even bad coffee is better than no coffee at all.     -- David Lynch
Contentment consist not in adding more fuel, but in taking away some fire.     -- Thomas Fuller
Discontentment makes rich people poor while contentment makes poor people rich.     -- Unknown
Contentment gives a crown, where fortune hath denied it.     -- John Ford
Contentment has the ability to squeeze out of every situation all the good there is to get.     -- Shantidasa
When we cannot find contentment in ourselves, it is useless to seek it elsewhere.     -- Francois La Rochefoucauld
Contentment, and indeed usefulness, comes as the infallible result of great acceptances, great humilities of not trying to make ourselves this or that, but of surrendering ourselves to the fullness of life of letting life flow through us.     -- David Grayson
The key to contentment is to consider. Consider who you are and be satisfied with that. Consider what you have and be satisfied with that. Consider what God's doing and be satisfied with that. You will be amazed at how much more comfortable you'll feel with yourself. Finally, consider this: If contentment cannot be found within yourself, you'll never find it.     -- Luci Swindoll
The secret of contentment is the realization that life is a gift, not a right.     -- Unknown
Neither circumstances nor surroundings can bring contentment. Only by fitting ourselves to meet conditions as they are, calmly and courageously, may we hope to reconcile ourselves to our position and conditions of life.     -- Fred Van Amburgh
A harvest of peace grows from seeds of contentment.     -- Indian Proverbs
He who knows that enough is enough will always have enough.     -- Lao Tzu
Man falls from the pursuit of the ideal of plan living and high thinking the moment he wants to multiply his daily wants. Man's happiness really lies in contentment.     -- Mohandas Gandhi
Contentment is the greatest form of wealth.     -- Acharya N_G_Rjuna
There is no end of craving. Hence contentment alone is the best way to happiness. Therefore, acquire contentment.     -- Swami Sivananda
He is rich who is content with the least; for contentment is the wealth of nature.     -- Socrates
Contentment is a pearl of great price, and whoever procures it at the expense of ten thousand desires makes a wise and a happy purchase.     -- John Balguy
Contentment is a kind of moral laziness; if there wasn't anything but contentment in his world, man wouldn't be any more of a success than an angleworm is.     -- Josh Billings
Contentment ... has an internal quietness of heart that gladly submits to God in all circumstances.     -- Joni Eareckson Tada
A good life with contentment is itself a great wealth. For we brought nothing with us into this world, and we can take nothing out of it. So if we have enough of what we need, let us be content with that.     -- Saint Timothy
Contentment is for cows; a challenging purpose is for people.     -- Denis Waitley
Contentment is just the realization that God has already provided for me today all that I need for my present peace and happiness.     -- Nancy Leigh Demoss
Fortify yourself with contentment, for this is an impregnable fortress.     -- Epictetus
The secret of contentment is knowing how to enjoy what you have, and to be able to lose all desire for things beyond your reach.     -- Lin Yutang
He who is not contented with what he has, would not be contented with what he would like to have.     -- Socrates
The wise man contents himself with what he has, until such time as he invents something better.     -- Jose Saramago
Contentment is accepting what God has given us, and, by His strength, making the most of it.     -- C. J. Jackson
Contentment is never the outcome of fulfillment, of achievement, or of the possession of things; it is not born of action or inaction. It comes with the fullness of what is, not in the alteration of it.     -- Jiddu Krishnamurti
Contentment is not about getting what you want. Contentment is about wanting what you've got.     -- Ken Clark
Content hangs not so high but that a man on the ground may reach it.     -- Eliza Cook
My motto is: Contented with little, yet wishing for more.     -- Charles Lamb
A contented mind is the greatest blessing a man can enjoy in this world.     -- Joseph Addison
The contented man can be happy with what appears to be useless.     -- Hung Ko
It is right to be contented with what we have, but never with what we are.     -- James Mackintosh
It is not our circumstances that create our discontent or contentment. It is us.     -- Vivian Greene
Be content with your lot; one cannot be first in everything.     -- Aesop
A man who is contented with what he has done will never become famous for what he will do.     -- Fred Estabrook
If you are content, you have enough to live comfortably.     -- Plautus
True contentment is a real, even an active virtue - not only affirmative but creative. It is the power of getting out of any situation all there is in it.     -- G. K. Chesterton
To be content with little is hard; to be content with much, impossible.     -- Marie Von Ebner-Eschenbach
Contentment has been worn as a crown by no end of sleepy heads.     -- Henry S. Haskins
Contentment: The smother of invention.     -- Ethel Watts Mumford
A contented mind is the best source for trouble.     -- Plautus
Progress is not created by contented people.     -- Frank Tyger
Ultimately, contentment is more a shift in attitude than a change in circumstances.     -- Linda Dillow
To feel that one has a place in life solves half the problems of contentment.     -- George Woodberry
Millions saw the apple fall, but Newton asked why.     -- Bernard Baruch
Curiosity is a willing, a proud, and eager confession of ignorance.     -- S.Leonard Rubinstein
The whole art of teaching is the only art of awakening the natural curiosity of young minds for the purpose of satisfying it afterwards; and curiosity itself can be vivid and wholesome only in proportion as the mind is contented and happy     -- Anatole France
Curiosity in children, is but an appetite for knowledge. The great reason why children abandon themselves wholly to silly pursuits and trifle away their time insipidly is, because they find their curiosity balked, and their inquiries neglected.     -- John Locke
Curiosity is the very basis of education and if you tell me that curiosity killed the cat, I say only the cat died nobly.     -- Arnold Edinborough
There are no foolish questions, and no man becomes a fool until he has stopped asking questions.     -- Charles Proteus Steinmetz
The cure for boredom is curiosity. There is no cure for curiosity.     -- Dorothy Parker
Curiosity is as much the parent of attention, as attention is of memory.     -- Richard Whately
A sense of curiosity is nature's original school of education.     -- Smiley Blanton
Be less curious about people and more curious about ideas.     -- Marie Curie
God spare me sclerosis of the curiosity, for the curiosity which craves to keep us informed about the small things no less than the large is the mainspring, the dynamo, the jet propulsion of all complete living.     -- John Mason Brown
The important thing is not to stop questioning. Curiosity has its own reason for existing. One cannot help but be in awe when he contemplates the mysteries of eternity, of life, of the marvellous structure of reality.     -- Edmund Burke
Curiosity about life in all of its aspects, I think, is still the secret of great creative people.     -- Leo Burnett
Creatures whose mainspring is curiosity enjoy the accumulating of facts far more than the pausing at times to reflect on those facts.     -- Clarence Day
I have no particular talent. I am merely inquisitive.     -- Albert Einstein
The first and simplest emotion which we discover in the human mind, is curiosity.     -- Edmund Burke
Curiosity is the lust of the mind.     -- Thomas Hobbes
It is a shameful thing to be weary of inquiry when what we search for is excellent.     -- Cicero
Curiosity is one of the forms of feminine bravery.     -- Victor Hugo
You can teach a student a lesson for a day; but if you can teach him to learn by creating curiosity, he will continue the learning process as long as he lives     -- Unknown
A single conversation with a wise man is better than ten years of study.     -- Chinese Proverb
All the world is a laboratory to the inquiring mind.     -- Martin H. Fischer
Always walk through life as if you have something new to learn and you will.     -- Vernon Howard
Curiosity is only vanity. Most frequently we wish not to know, but to talk. We would not take a sea voyage for the sole pleasure of seeing without hope of ever telling.     -- Blaise Pascal
Get over the idea that only children should spend their time in study. Be a student so long as you still have something to learn, and this will mean all your life.     -- Henry L. Doherty
As children we all possess a natural uninhabited curiosity, a hunger for explanations, which seems to die slowly as we age--suppressed, I suppose by the need not to appear ignorant.     -- Mahlon Hoagland
Childhood and genius have the same master-organ in common--inquisitiveness.     -- Edwin Bulwar-Lytton
Curiosity ... endows the people who have it with a generosity in argument and a serenity in cheerful willingness to let life take the form it will.     -- Alistar Cooke
Curiosity is one of those insatiable passions that grow by gratification.     -- Sarah Scott
Curiosity is the wick in the candle of learning.     -- William Arthur Ward
When curiosity is alive, we are attracted to many things; we discover many worlds.     -- Eric Booth
Curiosity might be pictured as being made up of chains of small questions extending outwards, sometimes over huge distances, from a central hub composed of a few blunt, large questions.     -- Alain De Botton
Let your curiosity be greater than your fear.     -- Pema Chodron
I have always had a curious nature; I enjoy learning, but I dislike being taught.     -- Winston Churchill
The open mode is a mood in which curiosity for its own sake can operate, because we're not under pressure to get a specific thing done properly. We can play.     -- John Cleese
Curiosity is lying in wait for every secret.     -- Ralph Waldo Emerson
A person who is too nice an observer of the business of the crowd, like one who is too curious in observing the labor of bees, will often be stung for his curiosity.     -- Alexander Pope
The alchemists in their search for gold discovered many other things of greater value.     -- Arthur Schopenhauer
Where the apple reddens never pry -- lest we lose our Edens, Eve and I.     -- Robert Browning
It is a miracle that curiosity survives formal education.     -- Albert Einstein
Judge a man by his questions rather than by his answers.     -- Voltaire
Curiosity is one of the most permanent and certain characteristics of a vigorous intellect.     -- Samuel Johnson
Mere curiosity adds wings to every step.     -- Johann Wolfgang Von Goethe
Curiosity will conquer fear even more than bravery will.     -- James Stephens
I think, at a child's birth, if a mother could ask a fairy godmother to endow it with the most useful gift, that gift would be curiosity.     -- Eleanor Roosevelt
There are two possible outcomes: If the result confirms the hypothesis, then you've made a measurement. If the result is contrary to the hypothesis, then you've made a discovery.     -- Enrico Fermi
They know enough who know how to learn.     -- Henry Adams
Between every two pines is a doorway to a new world.     -- John Muir
Questions show the mind's range, and answers its subtlety.     -- Joseph Joubert
Be very wary of any attempt, by anybody or anything, to limit the ultimate human right and duty to question and verify the truth.     -- Unknown
Bragging is not an attractive trait, but let's be honest. A man who catches a big fish doesn't go home through an alley.     -- Ann Landers
The feller that brags about how cheap he heats his home always sees the first robin.     -- Kin Hubbard
He who is humble is confident and wise. He who brags is insecure and lacking.     -- Lisa Edmondson
If you done it, it ain't bragging.     -- Walt Whitman
Tell me what you brag about and I'll tell you what you lack.     -- Spanish Proverb
He who truly knows has no occasion to shout.     -- Leonardo da Vinci
It's not bragging if you can back it up.     -- Muhammad Ali
A braggart is recognized by his headgear.     -- Namibian Proverb
You have to do a little bragging on yourself even to your relatives-man doesn't get anywhere without advertising.     -- John Nance Garner
The biggest challenge after success is shutting up about it.     -- Criss Jami
Who knows himself a braggart, let him fear this, for it will come to pass that every braggart shall be found an ass.     -- William Shakespeare
You have to give yourself credit, not too much because that would be bragging.     -- Frank McCourt
If I cannot brag of knowing something, then I brag of not knowing it; at any rate, brag.     -- Ralph Waldo Emerson
If I seem to boast more than is becoming, my excuse is that I brag for humanity rather than for myself.     -- Henry David Thoreau
The dog who barks the loudest is not always the best watcher, neither are braggadocios the most valiant.     -- WILLIAM SCOTT DOWNEY
The only way to cure an egotist from bragging is by surgery--amputation at the neck.     -- EVAN ESAR
Perhaps the less we have, the more we are required to brag.     -- JOHN STEINBECK
Mankind in general seem to take about as much pride in bragging of their faults as of their virtues.     -- H. W. SHAW
Bragging is an ailment, Bragging is a blight; Bragging is an attribute Of a silly wight.     -- RALPH M. THOMSON
Don't brag. It is not the whistle that moves the train.     -- D. V. Rangarajan
With a braggart, it's no sooner done than said.     -- Evan Esar
Now I'm not too keen about bragging on myself but you must admit I was the best.     -- Kim S. Jones
It ain't bragging if you can do it.     -- Dizzy Dean
Blow your own horn loud. If you succeed, people will forgive your noise; if you fail, they'll forget it.     -- William Feather
Great boast, small roast.     -- Chinese Proverb
There is also this benefit in brag, that the speaker is unconsciously expressing his own ideal. Humor him by all means, draw it all out, and hold him to it.     -- Ralph Waldo Emerson
People never have confidence in a Big Talker. They know his statements must be cut down, but they can never tell how much.     -- Edgar Watson Howe
Noise proves nothing. Often a hen who has merely laid an egg cackles as if she had laid an asteroid.     -- Mark Twain
It's as difficult to be rich without bragging as it is to be poor without complaining.     -- Chinese Proverbs
Every man who praises himself brushes the luster from his best efforts.     -- Ellen Gould White
Bragging saves advertising.     -- American Proverbs
It is far more impressive when others discover your good qualities without your help.     -- Judith Martin
Do you wish men to speak well of you? Then never speak well of yourself.     -- Blaise Pascal
Be wiser than other people, if you can, but do not tell them so.     -- Lord Chesterfield
It isn't what a man knows, but what he thinks he knows that he brags about.     -- George Horace Lorimer
For God hates utterly the bray of bragging tongues.     -- SOPHOCLES
Mere flimflam stories, and nothing but shams and lies.     -- Miguel De Cervantes
Do not boast about tomorrow, for you do not know what a day may bring forth.     -- Bible, Proverbs 27:1
Bragging: The patter of tiny feats.     -- Anonymous
A loaded wagon makes no noise.     -- Proverb
Empty vessels make most noise.     -- Proverb
The person who has nothing to brag about but their ancestors is like a potato; the best part of them is underground.     -- Sir Thomas Overbury
There's no such thing as bragging. You're either lying or telling the truth.     -- Al Oliver
Boasts are wind and deeds are hard.     -- Isaac Asimov
A person is bound to lose when he talks about himself; if he belittles himself, he is believed; if he praises himself, he isn't believed.     -- Michel de Montaigne
Its not bragging if its true.     -- Sara Shepard
You have to give yourself credit, not too much because that would be bragging.     -- Frank McCourt
Always do sober what you said you'd do drunk. That will teach you to keep your mouth shut.     -- Ernest Hemingway
The really tough thing about humility is you can't brag about it.     -- Gene Brown
What kills a skunk is the publicity it gives itself.     -- Abraham Lincoln
A beautiful thing is never perfect.      -- Egyptian (on beauty)
Beauty is in the eye of the beholder.      -- Greek Proverb
Beauty is only skin deep.      -- Sir Thomas Overbury (1581-1613)
Butterflies come to pretty flowers.      -- Korean (on beauty)
Do not dissect a rainbow. In other words, do not destroy a beautiful phenomenon by overanalyzing it.      -- Denise LaFrance, artist, 1964 - now.
Don't gild the lily.      -- unknown
Everything is lovely when the geese honk high.      -- unknown
If you foolishly ignore beauty, then you will soon find yourself without it.      -- Frank Lloyd Wright (1869-1959)
Life is not measured by the number of breaths we take, but by the moments that take our breath away      -- unknown
Music has charms to soothe a savage beast.      -- William Congreve (1670-1729)
Pleasing ware is half sold.      -- George Herbert (1593-1633)
Poetry moves heaven and earth.      -- Japanese (on art and creativity)
Pretty is as pretty does.      -- unknown
See life through an artist's eye.      -- unknown
Stop and smell the roses.      -- unknown
The eyes are the windows of the soul.      -- Thomas Phaer (c.1510-1560)
The fall of a leaf is a whisper to the living.     -- Danish (on life and living)
The future belongs to those who believe in the beauty of their dreams.      -- Eleanor Roosevelt
The world is the traveler's inn.     -- Afghan (on journeys)
Everything has beauty, but not everyone sees it.     -- Confucius
Real beauty is to be true to oneself.      -- Laetitia Casta
Never lose an opportunity of seeing anything beautiful, for beauty is God's handwriting.     -- Ralph Waldo Emerson
Beauty is power; a smile is its sword.     -- John Ray
The best part of beauty is that which no picture can express.     -- Francis Bacon
The best and most beautiful things in the world cannot be seen or even touched - they must be felt with the heart.     -- Helen Keller
But he who dares not grasp the thorn should never crave the rose.     -- Anne Bront
There is no exquisite beauty without some strangeness in the proportion.     -- Edgar Allan Poe
A thing of beauty is a joy forever: Its loveliness increases; it will never pass into nothingness.      -- John Keats
The words that enlighten the soul are more precious than jewels.     -- Hazrat Inayat Khan
Though we travel the world over to find the beautiful, we must carry it with us or we find it not.     -- Ralph Waldo Emerson
Beauty is not in the face; beauty is a light in the heart.     -- Kahlil Gibran
That which is striking and beautiful is not always good, but that which is good is always beautiful.     -- Ninon de L'Enclos
There is nothing more rare, nor more beautiful, than a woman being unapologetically herself; comfortable in her perfect imperfection. To me, that is the true essence of beauty.     -- Steve Maraboli
Beauty of whatever kind, in its supreme development, invariably excites the sensitive soul to tears.     -- Edgar Allan Poe
The beautiful is always bizarre.     -- Charles Baudelaire
There's nothing more inspiring than the complexity and beauty of the human heart.     -- Cynthia Hand
Beauty is unbearable, drives us to despair, offering us for a minute the glimpse of an eternity that we should like to stretch out over the whole of time.     -- Albert Camus
There is nothing that makes its way more directly to the soul than beauty.     -- Joseph Addison
The soul that sees beauty may sometimes walk alone.     -- Johann Wolfgang von Goethe
There is certainly no absolute standard of beauty. That precisely is what makes its pursuit so interesting.     -- John Kenneth Galbraith
People are like stained - glass windows. They sparkle and shine when the sun is out, but when the darkness sets in, their true beauty is revealed only if there is a light from within.     -- Elisabeth Kubler-Ross
Beauty in things exists in the mind which contemplates them.     -- David Hume
Beauty is the shadow of God on the universe.     -- Gabriela Mistral,Desolacon
Judge nothing by the appearance. The more beautiful the serpent, the more fatal its sting.     -- William Scott Downey
Anyone who keeps the ability to see beauty never grows old.     -- Franz Kafka
There is a road from the eye to the heart that does not go through the intellect.     -- Gilbert Keith Chesterton
Glamour is a shooting star, it catches your eye, but fades away, beauty is the sun always brilliant day after day.     -- Mike Dolan
There is nothing more beautiful than someone who goes out of their way to make life beautiful for others.     -- Mandy Hale
People are more than just the way they look.     -- Madeleine L'Engle
Beauty awakens the soul to act.     -- Dante Alighieri
Simplicity is the ultimate sophistication.     -- Leonardo Da Vinci
In character, in manner, in style, in all things, the supreme excellence is simplicity.     -- Henry Wadsworth Longfellow
Simplicity is the glory of expression.     -- Walt Whitman
The art of simplicity is a puzzle of complexity.     -- Douglas Horton
Simplicity is not the goal. It is the by-product of a good idea and modest expectations.     -- Paul Rand
Nothing is more simple than greatness; indeed, to be simple is to be great.     -- Ralph Waldo Emerson
Simplicity is the final achievement. After one has played a vast quantity of notes and more notes, it is simplicity that emerges as the crowning reward of art.     -- Frederic Chopin
If you can't explain it to a six year old, you don't understand it yourself.     -- Albert Einstein
Live simply, so that others may simply live.     -- Mother Teresa
Our life is frittered away by detail simplify, simplify, simplify!     -- Henry David Thoreau
Simplicity is the keynote of all true elegance.     -- Coco Chanel
Simplicity embarks not on what is seen by the naked eye, but dwelling on what is in the heart.     -- Author Unknown
The most complicated skill is to be simple.     -- Dejan Stojanovic
Simplicity is an exact medium between too little and too much.     -- Sir Joshua Reynolds
The ability to simplify means to eliminate the unnecessary so that the necessary may speak.     -- Hans Hofman
Simplicity is making the journey of this life with just baggage enough.     -- Charles Warner
The trouble with simple living is that, though it can be joyful, rich, and creative, it isn't simple.     -- Doris Janzen Longacre
The greatest step towards a life of simplicity is to learn to let go.     -- Steve Maraboli
Simplicity is indeed often the sign of truth and a criterion of beauty.     -- Mahlon Hoagland
Simplicity is the shortest path to a solution.     -- Ward Cunningham
Simplicity is prerequisite for reliability.     -- Edsger W. Dijkstra
Simplicity the art of maximizing the amount of work not done is essential.     -- Principles Behind The Agile Manifesto
Simplicity is a state of mind.     -- Charles Wagner
A little simplification would be the first step toward rational living, I think.     -- Eleanor Roosevelt
A taste for simplicity cannot last for long.     -- Eugene Delacroix
As beautiful as simplicity is, it can become a tradition that stands in the way of exploration.     -- Laura Nyro
I despise simplicity. It is the negation of all that is beautiful.     -- Norman Hartnell
I don't need a lot of money. Simplicity is the answer for me.     -- Linda Mccartney
It is simplicity that makes the uneducated more effective than the educated when addressing popular audiences.     -- Aristotle
Seek simplicity but distrust it.     -- Alfred North Whitehead
Simplicity does not mean want or poverty. It does not mean the absence of any decor, or absolute nudity. It only means that the decor should belong intimately to the design proper, and that anything foreign to it should be taken away.     -- Paul Jacques Grillo
Simplicity does not precede complexity, but follows it.     -- Alan Perlis
Simplicity involves unburdening your life, and living more lightly with fewer distractions that interfere with a high quality life, as defined uniquely by each individual. You will find people living simply in large cities, rural areas and everything in between.     -- Linda Breen Pierce
Simplicity is not an objective in art, but one achieves simplicity despite one's self by entering into the real sense of things.     -- Constantin Brancusi
Simplicity is the key to brilliance.     -- Bruce Lee
Simplicity is the nature of great souls.     -- Papa Ramadas
One can furnish a room very luxuriously by taking out furniture rather than putting it in.     -- Francis Jourdain
Never use a long word when a short one will do.     -- Louisa May Alcott
I relish simplicity as an all-comprehensive value.     -- Ela Bhatt
Simplicity is the seal of truth.     -- Proverb
Simplicity is natures first step, and the last of art.     -- Philip James Bailey
There is a simplicity that exists on the far side of complexity, and there is a communication of sentiment and attitude not to be discovered by careful exegesis of a text.     -- Patrick J. Buchanan
Be content with what you have, rejoice in the way things are. When you realize there is nothing lacking, the whole world belongs to you.     -- Lao Tzu
Simplicity is a jewel rarely found.     -- Ovid
Simplicity of all things is the hardest to be copy.     -- Richard Steele
There is one show of breeding vulgarity seldom assumes, simplicity.     -- George Macdonald
Simplicity is a captivating grace in woman, as rare as it is attractive.     -- J. De Finod
Simplicity is that grace which frees the soul from all unnecessary reflections upon itself.     -- Francois Fenelon
Genuine simplicity of heart is a healing and cementing principle.     -- Edmund Burke
In reality, serendipity accounts for one percent of the blessings we receive in life, work and love. The other 99 percent is due to our efforts.     -- Peter Mcwilliams
Serendipity is looking in a haystack for a needle and discovering a farmer's daughter.     -- Julius Comroe Jr.
Serendipity is the faculty of finding things we did not know we were looking for.     -- Glauco Ortolano
Serendipity. Look for something, find something else, and realize that what you've found is more suited to your needs than what you thought you were looking for.     -- Lawrence Block
Sometimes serendipity is just intention unmasked.     -- Elizabeth Berg
Serendipity is the way to make discoveries, by accident but also by sagacity, of things one is not in quest of. Based on experience, knowledge, it is the creative exploitation of the unforeseen.     -- Adrian Bejan
Serendipity is when you find things you weren't looking for because finding what you are looking for is so damned difficult.     -- Erin Mckean
Serendipity is putting a quarter in the gumball machine and having three pieces come rattling out instead of one all red.     -- Tobi Tobias
One aspect of serendipity to bear in mind is that you have to be looking for something in order to find something else.     -- Lawrence Block
Serendipity... You will understand it better by the derivation than by the definition. I once read a silly fairy tale, called 'The Three Princes of Serendip': as their Highnesses traveled, they were always making discoveries, by accidents and sagacity, of things which they were not in quest of.     -- Horace Walpole
...maximize the serendipity around you.     -- Nassim Nicholas Taleb
Serendipity always rewards the prepared.     -- Katori Hall
What people call serendipity sometimes is just having your eyes open.     -- Jose Manuel Barroso
The history of discovery is full of creative serendipity.     -- Tom Kelley
Fact is, inventing an innovative business model is often mostly a matter of serendipity.     -- Gary Hamel
Serendipity is the art of making an unsought finding.     -- Pek Van Andel
You don't reach Serendib by plotting a course for it. You have to set out in good faith for elsewhere and lose your bearings serendipitously.     -- John Barth
Synergy and serendipity often play a big part in medical and scientific advances.     -- Julie Bishop
I think a lot more decisions are made on serendipity than people think. Things come across their radar screens and they jump at them.     -- Jay W. Lorsch
There'll always be serendipity involved in discovery.     -- Jeff Bezos
I always leave room for serendipity and chance.     -- Ken Stott
Serendipity favors the believing.     -- Krystl Campos
There's always going to be the circumstances you can't plan for. There's always the unexpected relevance and the serendipity.     -- Jason Silva
Some of the greatest things, as I understand, they have come about by serendipity, the greatest discoveries.     -- Alan Alda
Serendipity is nice, but hoping for luck and the magic of happenstance shouldn't be an excuse for a lack of proactivity. I had to learn for myself that waiting isn't a life plan.     -- Karen Finerman
I am a firm believer in serendipity- all the random pieces coming together in one wonderful moment, when suddenly you see what their purpose was all along.     -- David Levithan
There is a fine line between serendipity and stalking.     -- David Coleman
Serendipity is the gift of finding things we didn't know we were already unconsciously looking for.     -- Glauco Ortolano
Serendipity is the gift of finding agreeable or valuable things not sought for.     -- Unknown
Most of us have one big idea at some point in our lives. That Eureka! moment. It comes to us all in different ways, often by chance of serendipity.     -- Peter James
When love feels like magic, it's called destiny. When destiny has a sense of humor, it's called Serendipity.     -- Serendipity
Thinking there had to be a better way was a brilliant stroke of serendipity!     -- Lorii Myers
Serendipity(noun) finding something good without looking for it.     -- Unknown
Let it find you. Serendipity. The effect by which one accidentally stumbles upon something truly wonderful, especially while looking for something entirely unrelated.     -- Unknown
Screw serendipity. You can make your life happen.     -- Anne-Sophie Dumetz
Plan to the extent that feels right to you at a particular time in your life, but always be open to serendipity.     -- Steve Leveen
Serendipity ... you can choose who to protect and who to share life with, but you cannot choose who to love, for love isn't a choice, but destiny.     -- Unknown
I find that a great part of the information I have was acquired by looking up something and finding something else on the way.     -- Franklin Pierce Adams
Risk-taking, trust, and serendipity are key ingredients of joy. Without risk, nothing new ever happens. Without trust, fear creeps in. Without serendipity, there are no surprises.     -- Rita Golden Gelman
Life is full of surprises and and serendipity. Being open to unexpected turns in the road is an important part of success. If you try to plan every step, you may miss those wonderful twists and turns. Just find your next adventure-do it well, enjoy it-and then, not now, think about what comes next.     -- Condoleeza Rice
All the really good ideas I ever had came to me while I was milking a cow.     -- Grant Wood
The most exciting phrase to hear in science, the one that heralds new discoveries, is not Eureka!', but That's funny      -- Isaac Asimov
In the field of observation, chance favors only the prepared mind.     -- Louis Pasteur
Serendipity - the happy surprise of finding something good or useful while not specifically searching for it.     -- Unknown
The possibilities are numerous once we decide to act and not react.     -- George Bernard Shaw
The only limits to the possibilities in your life tomorrow are the buts you use today.     -- Les Brown
I see possibilities in everything. For everything that's taken away, something of greater value has been given.     -- Michael J. Fox
I'm open for possibilities. I'm open for choices. I always welcome new ideas. I'm always eager to learn. I'm never going to close my mind from learning.     -- Cesar Millan
Try to keep your mind open to possibilities and your mouth closed on matters that you don't know about. Limit your 'always' and your 'nevers.'     -- Amy Poehler
It isn't necessary to imagine the world ending in fire or ice. There are two other possibilities: one is paperwork, and the other is nostalgia.     -- Frank Zappa
Keep your feet on the ground and your thoughts at lofty heights.     -- Peace Pilgrim
We all have possibilities we don't know about. We can do things we don't even dream we can do.     -- Dale Carnegie
We have more possibilities available in each moment than we realize.     -- Thich Nhat Hanh
Take your mind off the problems for a moment, and focus on the positive possibilities. Consider how very much you are able to do.     -- Ralph Marston
There are many spokes on the wheel of life. First, we're here to explore new possibilities.     -- Ray Charles
The vast possibilities of our great future will become realities only if we make ourselves responsible for that future.     -- Gifford Pinchot
No matter how good you get, there's always something further out there.     -- Bill Walton
In the beginner's mind there are many possibilities, in the expert's mind there are few.     -- Shunryu Suzuki
We must dare to think 'unthinkable' thoughts. We must learn to explore all the options and possibilities that confront us in a complex and rapidly changing world.     -- J. William Fulbright
I am where I am because I believe in all possibilities.     -- Whoopi Goldberg
Stop thinking in terms of limitations and start thinking in terms of possibilities.     -- Terry Josephson
No matter what the level of your ability, you have more potential than you can ever develop in a lifetime.     -- James T. Mccay
Balancing hopes, desires and an appreciating of the possibilities with a clear-eyed assessment of the limitations: that is the art of choosing.     -- Sheena Iyengar
Hope is the magic carpet that transports us from the present moment into the realm of infinite possibilities.     -- H. Jackson Brown, Jr.
It takes someone with a vision of the possibilities to attain new levels of experience. Someone with the courage to live his dreams.     -- Les Brown
The possibilities are infinite with new writing; every time you open a new script, there's no limit to what it might contain.     -- Tom Stoppard
